URL,Title,Address
https://newyork.craigslist.org/lgi/egr/d/melville-bookkeeper/6969065658.html,BOOKKEEPER,MELVILLE
https://newyork.craigslist.org/que/egr/d/architect-cad-drafting/6968226007.html,Architect CAD Drafting,Maspeth
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/6968187363.html,Facade / Building Envelope Architect,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6968185342.html,Facade / Building Envelope Structural Engineer,TriBeCa
https://newyork.craigslist.org/que/egr/d/queens-village-gc-construction/6968064520.html,GC Construction Assistant Project Manager,Queens Village
https://newyork.craigslist.org/lgi/egr/d/roslyn-heights-carpet-flooring-sales/6967824079.html,Carpet & Flooring Sales/Estimator,Roslyn Heights
https://newyork.craigslist.org/brk/egr/d/brooklyn-ecb-vioaltion-and-demolitions/6967556941.html,ECB/Vioaltion and Demolitions expediter,brooklyn
https://newyork.craigslist.org/que/egr/d/project-architects/6967512467.html,Project Architect(s),"Jamaica, Queens"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-class-2-expeditor/6967499998.html,Class 2 Expeditor,Downtown NYC
https://newyork.craigslist.org/fct/egr/d/landscape-designer-architect-landscape/6967283957.html,Landscape Designer/Architect - Landscape sales,New Canaan
https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect-commercial/6967270722.html,Project Architect | Commercial Architecture,Midtown
https://newyork.craigslist.org/mnh/egr/d/autocad-pm-drafting-positions-for-site/6967040035.html,AutoCAD PM/Drafting Positions for Site Safety Plans,Manhattan
https://newyork.craigslist.org/brk/egr/d/brooklyn-special-inspector-concrete/6966790395.html,Special Inspector (Concrete),
https://newyork.craigslist.org/mnh/egr/d/new-york-solar-project-manager/6966681883.html,Solar Project Manager,New York City
https://newyork.craigslist.org/mnh/egr/d/new-york-part-time-architecture-work/6966654844.html,Part-time architecture work- must know Revit,Flatiron
https://newyork.craigslist.org/que/egr/d/construction-estimator/6966558357.html,Construction Estimator,NYC
https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect/6966509540.html,Intermediate Architect,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect/6966474737.html,Project Architect,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect/6966462955.html,Architect,Midtown East
https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect/6966451697.html,Intermediate Architect,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-architect-interior-design/6966186464.html,Architect/Interior Design Internship/Full Time Position,Upper West Side
https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect/6966054359.html,Project Architect,Flatiron
https://newyork.craigslist.org/mnh/egr/d/new-york-jr-associate-architect8-month/6965811746.html,Jr. Associate Architect.....8 month project....NYC,New York
https://newyork.craigslist.org/mnh/egr/d/new-york-architect/6965730490.html,Architect,Midtown West
https://newyork.craigslist.org/brk/egr/d/junior-intermediate-architect-expediter/6965717468.html,Junior / Intermediate Architect / Expediter,midwood
https://newyork.craigslist.org/mnh/egr/d/new-york-city-nyc-dob-architect/6965495303.html,NYC DOB_ Architect _ Architectural Services- filing set_ Freelancer,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-city-dob-filing-representative/6965492876.html,DOB Filing Representative- Freelance,Midtown
https://newyork.craigslist.org/que/egr/d/astoria-mid-level-architect-8-to-10/6965250255.html,Mid-Level Architect: 8 to 10 Years of Experience,Long Island City
https://newyork.craigslist.org/brk/egr/d/architectural-intern-administrative/6965140411.html,Architectural Intern / Administrative assistant,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager-for-busy/6964940143.html,Project Manager for Busy Design-to-Build Reno Co.,Midtown West
https://newyork.craigslist.org/fct/egr/d/fairfield-project-engineer-fairfield/6964885260.html,Project Engineer (Fairfield),"Fairfield, CT"
https://newyork.craigslist.org/que/egr/d/bayside-architect-senior-intermediate/6963626629.html,ARCHITECT Senior/ Intermediate/ Junior,QUEENS
https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-site-supervisor/6963436860.html,Construction Site Supervisor/Manager,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project/6963204446.html,Facade / Building Envelope Project Architect,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6963200951.html,Facade / Building Envelope Structural Engineer,TriBeCa
https://newyork.craigslist.org/que/egr/d/brooklyn-architectural-construction/6963053410.html,Architectural Construction Admin/ Field Representative (18-24 months),Brooklyn/Staten Island
https://newyork.craigslist.org/brk/egr/d/brooklyn-assistant-pm-expediter/6962927023.html,Assistant Pm Expediter,Dumbo
https://newyork.craigslist.org/que/egr/d/project-manager/6962530380.html,Project Manager,queens
https://newyork.craigslist.org/que/egr/d/manhasset-kitchen-bath-designer/6962353116.html,Kitchen & Bath Designer - Experienced,Manhasset
https://newyork.craigslist.org/mnh/egr/d/new-york-city-entry-level-electrical/6962227574.html,Entry Level Electrical Engineering,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-field-service-engineer/6962143315.html,Field Service Engineer,Midtown
